"week","stringency_index","reproduction_rate","temp","humidity","precip","windspeed","new_cases","new_deaths","icu_patients","hosp_patients","case_fatality"
"2020-03-30",78.7,0.141014849101721,7.78,67.64,0.3298,25.92,5208,731,6478,13123,0.140360983102919
"2020-04-06",78.7,0.128902768704053,12.6714285714286,63.9428571428571,0.152714285714286,19.1571428571429,7773,976,9791,19114,0.125562845748102
"2020-04-13",78.7,0.137014239322989,9.58571428571429,64.7,0.0694285714285714,24.1428571428571,6871,948,8790,16239,0.137971183233882
"2020-04-20",78.7,0.165101167487605,12.3142857142857,55.8285714285714,0,25.9857142857143,4847,794,7159,13462,0.163812667629462
"2020-04-27",78.7,0.240213984800783,10.6428571428571,79.5428571428571,2.71642857142857,26.5285714285714,2527,581,5484,10583,0.229916897506925
"2020-05-04",78.7,0.202594737584941,12.3857142857143,67.0142857142857,0.0535714285714286,21.5857142857143,2018,386,4151,8679,0.191278493557978
"2020-05-11",71.3,0.173616121943258,8.98571428571429,64.9857142857143,0.143285714285714,26.2428571428571,1354,240,2876,7159,0.17725258493353
"2020-05-18",71.3,0.109994026445584,15.9857142857143,69.8714285714286,0.379,28.2571428571429,1304,142,1848,6079,0.108895705521472
"2020-05-25",71.3,0.118802928697505,15.6142857142857,64.9857142857143,0.00728571428571429,23.3142857142857,1100,134,1291,4623,0.121818181818182
"2020-06-01",62.96,0.0494153919855467,14.3571428571429,72.1285714285714,3.98971428571429,27.4714285714286,1194,57,830,3403,0.0477386934673367
"2020-06-08",62.96,0.0381119960021371,16.0285714285714,77.6142857142857,2.65442857142857,21.5,1209,46,569,2221,0.0380479735318445
"2020-06-15",59.26,0.0429766691619882,17.9,76.6428571428571,2.212,21.2857142857143,710,31,474,1787,0.0436619718309859
"2020-06-22",59.26,0.0261428545783552,20.7857142857143,64.3,1.84714285714286,24.2571428571429,565,15,303,1328,0.0265486725663717
"2020-06-29",49.3385714285714,0.047373740835628,16.9571428571429,78.1714285714286,2.854,37.6428571428571,465.666666666667,22,170,857,0.047244094488189
"2020-07-06",45.37,0.0299948591124439,14.9857142857143,80.7285714285714,4.12957142857143,24.0285714285714,482.833333333333,12.5,163,533,0.0258888505350362
"2020-07-13",45.37,0.00511592161705507,17.1571428571429,78.3142857142857,0.874285714285714,18.2714285714286,818,4,128,577,0.00488997555012225
"2020-07-20",45.37,0.0193890660508658,16.9571428571429,73.3285714285714,2.58771428571429,23.9285714285714,1276,23,114,579,0.018025078369906
"2020-07-27",45.37,0.0116364554379592,18.9,70.0714285714286,0.425142857142857,24.3,2351,20.5,133,486,0.00871969374734156
"2020-08-03",45.37,0.0023239693725691,21.6,64.8142857142857,0.598714285714286,18.7714285714286,3767,9,198,576,0.00238916910007964
"2020-08-10",45.37,0.00339515765106038,24.6428571428571,71.6,1.771,17.5142857142857,4418,15,238,806,0.00339520144861928
"2020-08-17",50.1357142857143,0.00762598466674254,20.4428571428571,76.4142857142857,3.55185714285714,28.2571428571429,3723,28,288,911,0.0075208165457964
"2020-08-24",50.93,0.00655803312439133,16.3285714285714,83.0428571428571,6.04485714285714,35.3285714285714,3603,24,254,758,0.00666111573688593
"2020-08-31",50.93,0.0041162266439224,15.1571428571429,79.0428571428571,4.35057142857143,22.1,4968,21,234,671,0.00422705314009662
"2020-09-07",50.93,0.00139507699445656,15.9428571428571,82.3,0.246,22.1714285714286,7853,11,231,900,0.00140073857124666
"2020-09-14",50.5328571428571,0.00200181494736211,16.8714285714286,72.0714285714286,0,20.3571428571429,12631,26,401,1522,0.00205842767793524
"2020-09-21",48.15,0.00497949787336693,14.1857142857143,81.6571428571429,5.54871428571429,27.6285714285714,18605,97,751,2774,0.00521365224402042
"2020-09-28",60.0557142857143,0.00312932224823539,13.7428571428571,89.1,3.11642857142857,24.4857142857143,25966,80,1065,3964,0.00308095201417238
"2020-10-05",62.04,0.00314970903973742,11.6714285714286,85.0142857142857,9.72385714285714,31.4857142857143,41058,130,1526,5994,0.00316625261824736
"2020-10-12",62.04,0.00305970437590512,9.65714285714286,82.1571428571429,0.238714285714286,18.3285714285714,54771,167,2204,8278,0.00304905880849355
"2020-10-19",62.04,0.00449934985662577,12.4142857142857,86.0285714285714,2.77885714285714,31.6428571428571,65402,295,3174,10704,0.00451056542613376
"2020-10-26",62.04,0.00590779231940556,11.9142857142857,86.2571428571429,3.53657142857143,35.0857142857143,66597,388,3867,12826,0.00582608826223403
"2020-11-02",64.6828571428571,0.012256979873687,9.38571428571429,83.8571428571429,0.621571428571429,24.0857142857143,46657,571,4218,13188,0.0122382493516514
"2020-11-09",65.74,0.012576487978311,11.3714285714286,89.6571428571429,2.09971428571429,24,37999,483,4189,11302,0.0127108608121266
"2020-11-16",64.4171428571428,0.0110130266017142,9.92857142857143,82.1142857142857,1.57157142857143,31.6285714285714,37191,406,3900,10289,0.0109166196122718
